Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,96.5225%,104980,2913824,3018804,2598912,52502,52478,314912
0x401cbf,89.0454%,104980,853337,958317,538425,52502,52478,314912
0x401f44,100%,0,367390,367390,367390,0,0,0
0x401fef,100%,0,367390,367390,367390,0,0,0
0x401ddb,100%,0,367390,367390,367390,0,0,0
0x4027d5,100%,0,958317,958317,958317,0,0,0
